id,latitude,longitude,elevation,country,name,state,21-Mar,21-Jun,21-Sep,21-Dec
MX000010072,25.52,-104.3,1600,MX,SPEDRO DEL G,,30.17241379,33.83214286,32.01785714,25.21333333
MX000011001,20.45,-101.53,1760,MX,ABASOLO,,30.15882353,29.84857143,28.66176471,25.76666667
MX000011028,20.68,-101.35,1724,MX,IRAPUATO,,29.33882353,29.02625,27.22183908,25.08227848
MX000011036,20.68,-101.85,1500,MX,LAS ADJUNTAS,,27.936,28.11538462,25.63461538,23.64705882
MX000011053,21.22,-100.5,2188,MX,POZOS,,25,24.96551724,23.9,20.59259259
MX000011064,21.47,-100.87,2080,MX,SAN DIEGO DE LA UNION,,26.24084507,26.68,24.28333333,21.1
MX000011095,21.12,-101.68,1850,MX,LA CALZADA,,27.87368421,28.26153846,26.51794872,23.48205128
MX000012046,18.33,-99.35,768,MX,HUITZUCO,,36.9375,32.6,32.07142857,31
MX000012052,17.9,-101.78,196,MX,LA UNION,,32.67948718,33.0875,31.575,32.3625
MX000012116,18.42,-99.52,5,MX,IGUALA,,36.9625,33,31.68604651,31.54651163
MX000013002,19.72,-98.45,5,MX,APAN,,24.48863636,23.81818182,22.47674419,20.02325581
MX000013008,19.85,-98.95,0,MX,EL MANANTIAL,,25.29411765,22.85714286,22.28571429,20.94444444
MX000013018,20.23,-99.2,1990,MX,MIXQUIAHUALA,,26.46774194,25.15,24.44827586,23
MX000013027,19.82,-98.48,1528,MX,SAN JERONIMO,,23.08695652,20.39130435,20.17391304,19.63636364
MX000013035,19.87,-98.82,2326,MX,TEZONTEPEC,,26.15555556,24.57142857,22.68181818,22.64285714
MX000013090,20.18,-99.25,0,MX,RIO SALADO,,29.1875,21.875,22.6875,18.3125
MX000014017,20.57,-102.52,1600,MX,ATOTONILCO,,29.22432432,29.33783784,27.96944444,25.36388889
MX000014039,20.95,-103.05,1799,MX,CUQUIO,,26.9,27.04878049,25.51538462,22.65853659
MX000014040,20.3,-103.2,1523,MX,CHAPALA,,26.34032258,27.06065574,25.18032787,22.11
MX000014066,20.72,-103.38,1583,MX,GUADALAJARA,,29.87941176,30.66363636,28.52424242,25.43333333
MX000014081,20.73,-105.15,60,MX,LA DESEMBOCADA,,32.04285714,33.61111111,33.2,30.22222222
